iter	Logloss
0	0.5552278219
1	0.4513464494
2	0.3942657502
3	0.3534173827
4	0.3262050562
5	0.3070004443
6	0.2920777568
7	0.2817574208
8	0.2744224832
9	0.2674914276
10	0.2571535733
11	0.2531326303
12	0.246133315
13	0.2409985106
14	0.2361986352
15	0.2325035703
16	0.2304405805
17	0.2288603718
18	0.2272491173
19	0.2255200906
20	0.2242603607
21	0.222190635
22	0.2204282659
23	0.219433375
24	0.2180115944
25	0.2172963186
26	0.2166558789
27	0.2147315136
28	0.2139910603
29	0.2129451732
30	0.2125547943
31	0.2119801532
32	0.2115706592
33	0.2110372749
34	0.2103124031
35	0.2098686073
36	0.2095653772
37	0.2090909192
38	0.2083866754
39	0.2077315138
40	0.2073034151
41	0.2069518805
42	0.206763389
43	0.2064206035
44	0.2059129984
45	0.2055842612
46	0.2053366014
47	0.20485934
48	0.2043428059
49	0.2042025435
50	0.2038787219
51	0.203679257
52	0.2034179816
53	0.2031689086
54	0.2027432005
55	0.2024727425
56	0.2022439069
57	0.2020572204
58	0.201889119
59	0.2016630607
60	0.2015305884
61	0.201382803
62	0.2012837433
63	0.2011131872
64	0.2007465292
65	0.2006697821
66	0.2004942367
67	0.2002924342
68	0.2001025455
69	0.1998718999
70	0.1995893665
71	0.1993052851
72	0.1992714762
73	0.1992062217
74	0.1989852483
75	0.1988902512
76	0.1986491286
77	0.1984268873
78	0.1983050536
79	0.1982501667
80	0.1980932919
81	0.1980298223
82	0.197958227
83	0.1979333745
84	0.1979093436
85	0.1978803526
86	0.1977792215
87	0.1977063184
88	0.1976255177
89	0.1975986392
90	0.1974461621
91	0.1973541565
92	0.1971592679
93	0.1971255839
94	0.1970718523
95	0.1970449335
96	0.1970194021
97	0.1969567546
98	0.1969346765
99	0.1968861465
100	0.1965725491
101	0.1964279195
102	0.1962783481
103	0.1962199315
104	0.1961782964
105	0.1959985451
106	0.1958994756
107	0.1958438163
108	0.1956946492
109	0.1955282619
110	0.1954741207
111	0.1954295087
112	0.1953808033
113	0.1953555699
114	0.1953228103
115	0.1952632166
116	0.1952433314
117	0.1949521139
118	0.19467905
119	0.1946444412
120	0.1946156934
121	0.1945794315
122	0.1944292282
123	0.194410851
124	0.1943422247
125	0.1943184119
126	0.1942925953
127	0.1941821296
128	0.1941499033
129	0.1941238554
130	0.1940379395
131	0.1940151885
132	0.193935269
133	0.1939132659
134	0.1938860016
135	0.1938496905
136	0.1938315889
137	0.1938062792
138	0.1937851496
139	0.1937672696
140	0.1937402174
141	0.1937209659
142	0.1936968423
143	0.1936483267
144	0.1936298994
145	0.1936011885
146	0.1935802352
147	0.1935270357
148	0.1934978792
149	0.1934511124
150	0.1933220067
151	0.193295554
152	0.1932366113
153	0.1932127216
154	0.1931893011
155	0.193168203
156	0.1931441644
157	0.193120608
158	0.1930727293
159	0.1930319911
160	0.1928151988
161	0.1927105134
162	0.1926649694
163	0.1926184897
164	0.1925900733
165	0.1925189874
166	0.1924857327
167	0.1924677163
168	0.1923677319
169	0.1923307484
170	0.1923058367
171	0.1922863425
172	0.1922643845
173	0.1922426571
174	0.1922181437
175	0.1921809292
176	0.1921565999
177	0.1921347878
178	0.1921057396
179	0.1920810226
180	0.1920452398
181	0.1920230393
182	0.1919979586
183	0.1919704271
184	0.1919463215
185	0.19190832
186	0.1918586023
187	0.1918295964
188	0.1918096603
189	0.1917826626
190	0.1917575356
