iter	Passed	Remaining
0	70	70815
1	141	70627
2	203	67759
3	263	65560
4	326	64934
5	393	65180
6	456	64818
7	518	64341
8	588	64788
9	655	64907
10	723	65021
11	841	69261
12	971	73792
13	1050	74003
14	1113	73093
15	1175	72297
16	1238	71624
17	1302	71067
18	1370	70759
19	1440	70571
20	1505	70193
21	1573	69938
22	1641	69746
23	1702	69232
24	1769	68995
25	1834	68706
26	1897	68362
27	1959	68030
28	2022	67730
29	2087	67488
30	2149	67180
31	2217	67074
32	2284	66950
33	2349	66749
34	2438	67238
35	2522	67554
36	2594	67532
37	2666	67512
38	2735	67411
39	2803	67291
40	2871	67157
41	2937	66992
42	3000	66780
43	3065	66597
44	3130	66430
45	3197	66313
46	3272	66358
47	3356	66571
48	3453	67035
49	3552	67498
50	3754	69870
51	3861	70406
52	3943	70464
53	4030	70611
54	4100	70459
55	4165	70210
56	4230	69990
57	4295	69763
58	4362	69572
59	4426	69341
60	4490	69128
61	4555	68921
62	4617	68679
63	4675	68379
64	4743	68228
65	4816	68158
66	4905	68310
67	5023	68847
68	5155	69568
69	5298	70395
70	5399	70651
71	5502	70924
72	5600	71119
73	5697	71300
74	5787	71374
75	5868	71354
76	5950	71329
77	6030	71288
78	6115	71294
79	6189	71176
80	6263	71058
81	6339	70970
82	6417	70900
83	6487	70745
84	6567	70700
85	6649	70667
86	6718	70504
87	6791	70385
88	6855	70168
89	6919	69965
90	6991	69840
91	7066	69740
92	7175	69979
93	7256	69941
94	7329	69820
95	7407	69750
96	7490	69728
97	7560	69591
98	7632	69464
99	7724	69520
100	7805	69472
101	7872	69308
102	7981	69505
103	8087	69678
104	8193	69839
105	8304	70037
106	8407	70164
107	8511	70296
108	8625	70510
109	8725	70596
110	8903	71311
111	9015	71483
112	9108	71498
113	9191	71433
114	9268	71328
115	9343	71202
116	9427	71147
117	9509	71078
118	9600	71072
119	9685	71026
120	9794	71151
121	9882	71119
122	9973	71109
123	10045	70968
124	10139	70977
125	10216	70869
126	10314	70903
127	10384	70747
128	10468	70683
129	10542	70555
130	10626	70490
131	10698	70351
132	10768	70200
133	10846	70096
134	10915	69942
135	10992	69832
136	11059	69669
137	11131	69532
138	11223	69520
139	11286	69329
140	11381	69341
141	11464	69271
142	11532	69115
143	11617	69058
144	11693	68954
145	11777	68890
146	11926	69206
147	11999	69080
148	12065	68910
149	12127	68721
150	12192	68555
151	12261	68408
152	12329	68252
153	12428	68275
154	12510	68200
155	12583	68079
156	12654	67950
157	12733	67858
158	12816	67791
159	12897	67711
160	12981	67646
161	13051	67513
162	13128	67412
163	13210	67338
164	13275	67180
165	13352	67084
166	13455	67116
167	13523	66975
168	13600	66877
169	13664	66715
170	13730	66565
171	13790	66387
172	13854	66228
173	13919	66077
174	13984	65927
175	14051	65786
176	14119	65650
177	14189	65525
178	14272	65460
179	14352	65383
180	14444	65358
181	14519	65256
182	14597	65169
183	14678	65098
184	14759	65020
185	14836	64927
186	14917	64853
187	14995	64765
188	15062	64631
189	15131	64509
190	15218	64458
191	15284	64321
192	15361	64230
193	15441	64152
194	15510	64029
195	15581	63917
196	15648	63786
197	15732	63724
198	15815	63659
199	15880	63522
200	15941	63370
201	16008	63239
202	16071	63098
203	16134	62957
204	16196	62809
205	16263	62685
206	16333	62570
207	16395	62427
208	16458	62290
209	16526	62169
210	16593	62047
211	16664	61942
212	16723	61789
213	16808	61736
214	16872	61605
215	16955	61543
216	17023	61425
217	17087	61295
218	17163	61207
219	17232	61097
220	17300	60983
221	17390	60944
222	17459	60833
223	17539	60762
224	17606	60645
225	17679	60548
226	17745	60427
227	17819	60336
228	17890	60232
229	17988	60223
230	18065	60139
231	18144	60064
232	18231	60014
233	18310	59938
234	18387	59858
235	18479	59823
236	18559	59752
237	18632	59656
238	18703	59554
239	18775	59455
240	18842	59343
241	18908	59226
242	18975	59112
243	19044	59006
244	19107	58882
245	19168	58751
246	19232	58630
247	19299	58521
248	19371	58426
249	19437	58313
250	19507	58211
251	19574	58102
252	19638	57985
253	19706	57878
254	19778	57783
255	19841	57664
256	19909	57558
257	19973	57441
258	20041	57339
259	20105	57222
260	20168	57105
261	20232	56990
262	20374	57094
263	20440	56984
264	20506	56877
265	20573	56769
266	20642	56669
267	20714	56577
268	20777	56462
269	20838	56340
270	20903	56231
271	20978	56147
272	21045	56045
273	21112	55940
274	21174	55823
275	21247	55736
276	21311	55624
277	21376	55517
278	21439	55405
279	21502	55292
280	21562	55172
281	21623	55055
282	21687	54947
283	21756	54850
284	21820	54741
285	21887	54641
286	21950	54532
287	22017	54433
288	22091	54349
289	22152	54236
290	22232	54167
291	22302	54074
292	22380	54003
293	22451	53913
294	22517	53812
295	22584	53714
296	22645	53602
297	22714	53509
298	22790	53431
299	22856	53332
300	22925	53238
301	22995	53147
302	23076	53084
303	23146	52993
304	23222	52916
305	23295	52833
306	23365	52743
307	23442	52668
308	23513	52581
309	23587	52501
310	23651	52398
311	23736	52342
312	23804	52247
313	23874	52157
314	23944	52069
315	24004	51958
316	24064	51847
317	24124	51738
318	24204	51672
319	24271	51577
320	24338	51482
321	24409	51396
322	24481	51312
323	24557	51236
324	24639	51174
325	24720	51108
326	24801	51043
327	24888	50991
328	24962	50911
329	25045	50850
330	25117	50766
331	25194	50691
332	25276	50628
333	25340	50528
334	25401	50424
335	25466	50326
336	25528	50223
337	25588	50117
338	25657	50029
339	25724	49935
340	25786	49833
341	25849	49734
342	25914	49638
343	25982	49547
344	26047	49452
345	26115	49363
346	26183	49273
347	26254	49190
348	26332	49119
349	26398	49025
350	26467	48938
351	26533	48846
352	26611	48774
353	26678	48684
354	26744	48592
355	26829	48533
356	26888	48428
357	26954	48338
358	27014	48235
359	27084	48149
360	27152	48063
361	27219	47972
362	27292	47892
363	27356	47798
364	27422	47707
365	27493	47625
366	27560	47535
367	27642	47472
368	27707	47381
369	27775	47293
370	27838	47198
371	27897	47096
372	27963	47006
373	28025	46909
374	28084	46806
375	28141	46702
376	28204	46608
377	28264	46508
378	28321	46405
379	28396	46331
380	28483	46276
381	28562	46207
382	28647	46150
383	28731	46089
384	28812	46025
385	28953	46055
386	29135	46150
387	29220	46089
388	29288	46003
389	29382	45957
390	29461	45887
391	29532	45805
392	29597	45713
393	29663	45624
394	29729	45535
395	29808	45465
396	29881	45387
397	29964	45323
398	30033	45238
399	30095	45142
400	30163	45057
401	30230	44970
402	30300	44886
403	30373	44808
404	30445	44728
405	30513	44643
406	30580	44555
407	30652	44475
408	30719	44388
409	30784	44300
410	30856	44220
411	30927	44139
412	30993	44051
413	31060	43965
414	31143	43900
415	31212	43817
416	31282	43735
417	31355	43657
418	31423	43573
419	31510	43514
420	31590	43446
421	31660	43364
422	31727	43277
423	31798	43197
424	31858	43102
425	31921	43011
426	31988	42925
427	32067	42856
428	32152	42794
429	32234	42728
430	32316	42663
431	32410	42613
432	32489	42543
433	32570	42476
434	32661	42422
435	32767	42386
436	32843	42312
437	32932	42256
438	33032	42211
439	33108	42138
440	33186	42066
441	33269	42001
442	33360	41944
443	33444	41880
444	33541	41832
445	33650	41799
446	33736	41736
447	33815	41665
448	33909	41613
449	33990	41544
450	34059	41460
451	34127	41376
452	34195	41291
453	34265	41209
454	34338	41130
455	34413	41054
456	34496	40988
457	34582	40925
458	34660	40851
459	34729	40769
460	34794	40681
461	34862	40597
462	34933	40516
463	35022	40456
464	35113	40399
465	35212	40350
466	35295	40284
467	35378	40216
468	35443	40128
469	35510	40043
470	35591	39974
471	35667	39898
472	35744	39824
473	35815	39744
474	35889	39667
475	35956	39582
476	36024	39498
477	36089	39411
478	36167	39339
479	36237	39257
480	36305	39174
481	36371	39088
482	36433	38998
483	36504	38917
484	36572	38834
485	36638	38749
486	36705	38665
487	36766	38575
488	36839	38496
489	36937	38445
490	37036	38394
491	37131	38338
492	37202	38258
493	37277	38183
494	37342	38096
495	37411	38015
496	37476	37928
497	37540	37842
498	37613	37764
499	37681	37681
500	37767	37616
501	37861	37559
502	37962	37509
503	38061	37457
504	38141	37386
505	38206	37300
506	38278	37221
507	38345	37137
508	38415	37056
509	38483	36974
510	38546	36886
511	38610	36800
512	38672	36712
513	38751	36640
514	38812	36551
515	38881	36470
516	38950	36388
517	39015	36303
518	39083	36221
519	39153	36142
520	39230	36067
521	39299	35986
522	39380	35916
523	39468	35852
524	39554	35787
525	39666	35744
526	39772	35696
527	39859	35632
528	39935	35556
529	40012	35482
530	40085	35405
531	40162	35330
532	40257	35272
533	40338	35201
534	40416	35128
535	40483	35045
536	40549	34961
537	40612	34875
538	40675	34788
539	40739	34704
540	40802	34618
541	40865	34532
542	40926	34444
543	40994	34363
544	41096	34309
545	41171	34234
546	41245	34157
547	41316	34078
548	41384	33996
549	41460	33921
550	41529	33841
551	41595	33758
552	41659	33673
553	41726	33592
554	41798	33514
555	41862	33429
556	41927	33346
557	41996	33266
558	42064	33184
559	42127	33100
560	42189	33014
561	42257	32933
562	42327	32854
563	42393	32772
564	42465	32694
565	42527	32609
566	42592	32526
567	42657	32443
568	42722	32361
569	42794	32283
570	42887	32221
571	42989	32166
572	43098	32117
573	43202	32063
574	43285	31993
575	43355	31914
576	43423	31833
577	43490	31752
578	43561	31674
579	43633	31596
580	43701	31516
581	43766	31433
582	43828	31349
583	43886	31261
584	43950	31178
585	44019	31099
586	44085	31017
587	44148	30933
588	44224	30859
589	44295	30781
590	44363	30701
591	44432	30622
592	44498	30541
593	44566	30461
594	44646	30389
595	44747	30332
596	44840	30269
597	44913	30192
598	44980	30111
599	45043	30028
600	45109	29947
601	45175	29866
602	45242	29786
603	45308	29705
604	45371	29622
605	45442	29545
606	45507	29463
607	45575	29383
608	45646	29306
609	45735	29240
610	45834	29181
611	45929	29118
612	46005	29044
613	46072	28963
614	46138	28883
615	46208	28805
616	46277	28726
617	46344	28646
618	46411	28566
619	46477	28486
620	46555	28412
621	46620	28332
622	46686	28251
623	46755	28173
624	46821	28093
625	46897	28018
626	46996	27957
627	47087	27892
628	47168	27821
629	47237	27742
630	47308	27665
631	47394	27597
632	47469	27522
633	47538	27443
634	47610	27366
635	47673	27284
636	47737	27203
637	47800	27121
638	47865	27041
639	47929	26960
640	47995	26880
641	48063	26801
642	48144	26730
643	48222	26657
644	48298	26582
645	48370	26506
646	48443	26430
647	48512	26352
648	48583	26275
649	48661	26202
650	48732	26125
651	48798	26045
652	48865	25966
653	48950	25897
654	49025	25822
655	49090	25742
656	49157	25663
657	49227	25586
658	49294	25507
659	49369	25432
660	49441	25356
661	49509	25278
662	49577	25199
663	49642	25120
664	49709	25041
665	49777	24963
666	49845	24885
667	49910	24805
668	49976	24726
669	50044	24648
670	50111	24570
671	50171	24488
672	50239	24410
673	50313	24335
674	50403	24268
675	50488	24198
676	50589	24136
677	50682	24070
678	50775	24004
679	50866	23937
680	50953	23868
681	51046	23801
682	51123	23728
683	51227	23666
684	51311	23595
685	51387	23521
686	51479	23454
687	51562	23383
688	51648	23312
689	51724	23238
690	51787	23158
691	51853	23079
692	51917	22999
693	51985	22921
694	52062	22847
695	52134	22771
696	52206	22695
697	52279	22619
698	52360	22547
699	52467	22486
700	52546	22412
701	52610	22333
702	52674	22253
703	52740	22175
704	52809	22097
705	52885	22023
706	52961	21948
707	53032	21872
708	53101	21794
709	53169	21717
710	53242	21641
711	53319	21567
712	53421	21503
713	53527	21441
714	53626	21375
715	53722	21308
716	53812	21239
717	53910	21173
718	54009	21108
719	54109	21042
720	54199	20973
721	54273	20897
722	54343	20820
723	54422	20746
724	54506	20674
725	54591	20603
726	54689	20536
727	54774	20465
728	54853	20391
729	54996	20341
730	55116	20282
731	55244	20226
732	55456	20200
733	55549	20130
734	55662	20068
735	55765	20002
736	55855	19932
737	55954	19864
738	56051	19796
739	56163	19733
740	56272	19668
741	56376	19602
742	56493	19540
743	56602	19476
744	56700	19407
745	56793	19337
746	56895	19269
747	56994	19201
748	57089	19131
749	57180	19060
750	57275	18990
751	57362	18917
752	57458	18847
753	57575	18784
754	57681	18717
755	57783	18649
756	57943	18600
757	58174	18572
758	58345	18526
759	58461	18461
760	58603	18404
761	58722	18341
762	58837	18275
763	58974	18217
764	59107	18157
765	59247	18098
766	59323	18021
767	59408	17946
768	59488	17869
769	59558	17790
770	59631	17711
771	59706	17633
772	59802	17561
773	59882	17484
774	59964	17408
775	60032	17329
776	60100	17248
777	60168	17168
778	60237	17089
779	60315	17011
780	60381	16931
781	60448	16851
782	60530	16775
783	60614	16699
784	60813	16655
785	60880	16575
786	60965	16500
787	61048	16424
788	61156	16354
789	61270	16287
790	61361	16212
791	61445	16137
792	61521	16059
793	61597	15981
794	61681	15905
795	61762	15828
796	61833	15749
797	61918	15673
798	62017	15601
799	62094	15523
800	62182	15448
801	62264	15372
802	62350	15296
803	62427	15218
804	62520	15144
805	62599	15067
806	62681	14990
807	62756	14912
808	62849	14838
809	62974	14771
810	63205	14729
811	63321	14660
812	63418	14586
813	63519	14514
814	63588	14434
815	63649	14352
816	63731	14275
817	63798	14194
818	63860	14113
819	63917	14030
820	63982	13949
821	64063	13872
822	64133	13792
823	64200	13712
824	64265	13632
825	64352	13556
826	64416	13475
827	64482	13394
828	64548	13314
829	64612	13233
830	64686	13155
831	64775	13079
832	64848	13000
833	64923	12922
834	64993	12842
835	65061	12763
836	65128	12683
837	65204	12605
838	65287	12528
839	65367	12450
840	65444	12373
841	65514	12293
842	65580	12213
843	65658	12135
844	65755	12061
845	65833	11983
846	65904	11904
847	65978	11826
848	66051	11747
849	66128	11669
850	66231	11596
851	66302	11517
852	66371	11437
853	66441	11358
854	66506	11278
855	66576	11199
856	66651	11121
857	66723	11042
858	66796	10964
859	66864	10884
860	66946	10807
861	67038	10732
862	67134	10657
863	67218	10580
864	67303	10504
865	67394	10428
866	67470	10350
867	67543	10271
868	67620	10193
869	67707	10117
870	67785	10039
871	67857	9960
872	67923	9881
873	67996	9802
874	68076	9725
875	68150	9646
876	68263	9574
877	68338	9495
878	68437	9420
879	68533	9345
880	68605	9266
881	68681	9188
882	68754	9110
883	68846	9034
884	68920	8955
885	68988	8876
886	69060	8798
887	69137	8720
888	69203	8640
889	69275	8562
890	69344	8483
891	69422	8405
892	69537	8332
893	69622	8255
894	69702	8177
895	69784	8100
896	69867	8022
897	69968	7947
898	70069	7872
899	70177	7797
900	70261	7720
901	70331	7641
902	70409	7563
903	70495	7486
904	70572	7408
905	70655	7330
906	70723	7251
907	70810	7174
908	70911	7098
909	71071	7029
910	71171	6953
911	71266	6876
912	71352	6799
913	71428	6720
914	71502	6642
915	71566	6562
916	71640	6484
917	71711	6405
918	71779	6326
919	71845	6247
920	71923	6169
921	71990	6090
922	72048	6010
923	72117	5931
924	72214	5855
925	72284	5776
926	72360	5698
927	72455	5621
928	72531	5543
929	72612	5465
930	72687	5387
931	72758	5308
932	72828	5229
933	72901	5151
934	72970	5072
935	73035	4993
936	73102	4915
937	73193	4837
938	73261	4759
939	73335	4680
940	73401	4602
941	73482	4524
942	73564	4446
943	73708	4372
944	73816	4296
945	73890	4217
946	73966	4139
947	74034	4060
948	74124	3983
949	74215	3906
950	74319	3829
951	74406	3751
952	74479	3673
953	74557	3595
954	74655	3517
955	74747	3440
956	74819	3361
957	74899	3283
958	74968	3205
959	75038	3126
960	75113	3048
961	75196	2970
962	75314	2893
963	75434	2817
964	75543	2739
965	75665	2663
966	75784	2586
967	75906	2509
968	76033	2432
969	76148	2355
970	76231	2276
971	76313	2198
972	76384	2119
973	76487	2041
974	76571	1963
975	76655	1884
976	76732	1806
977	76812	1727
978	76891	1649
979	76968	1570
980	77052	1492
981	77150	1414
982	77222	1335
983	77289	1256
984	77359	1178
985	77424	1099
986	77493	1020
987	77560	942
988	77636	863
989	77753	785
990	77823	706
991	77890	628
992	77982	549
993	78057	471
994	78153	392
995	78249	314
996	78354	235
997	78463	157
998	78549	78
999	78665	0
